25,"10.1","Continuous improvement","Implement continuous improvement within the SMSI.","","- continuous improvement plan","Monitor the improvement of the relevance, adequacy and effectiveness of the information security management system.","Green: compliant\nRed: non-compliant","Continually improve the relevance, adequacy and effectiveness of the information security management system."
25,"10.2","Non-compliance and corrective actions","Ensure that non-conformities and corrective actions are addressed.","","- The plan for monitoring non-conformities and corrective actions","Control the plan for dealing with non-conformities and corrective actions","Green: compliant\nRed: non-compliant","Implement a plan to manage non-conformities and corrective actions"
25,"4.x","Understanding the organization and its context","Understand the organization and its context, define the scope and implement an ISMS","","- Understanding the organization and its context\n- Understanding the needs and expectations of interested parties\n- Determination of the scope of application of the ISMS\n- \n- Information security management system","Control the understanding of the organization and its context, the understanding of the needs and expectations of interested parties, the area of application and the information security management system.","Green: compliant\nRed: non-compliant","Review understanding of the organization and its context"
26,"5.01","Information Security Policies","Continuously ensure the relevance, adequacy and effectiveness of management's orientations and its support for information security according to business, legal, statutory, regulatory and contractual requirements.","#Preventive #Confidentiality #Integrity #Availability #Identify #Governance #Governance_and_Ecosystem #Resilience","- information security policy set\n- approval evidence\n- dissemination evidence","Control the existence of all security policies, their validation, their distribution and communication to employees and third parties concerned.","Green: compliant\nOrange: minor violations\nRed: non-compliant","Establish information security policy and thematic policies, have them approved by management, publish them, communicate them and seek confirmation from relevant staff and interested parties, as well as review at scheduled intervals and if significant changes occur."
26,"5.02","Information Security Duties and Responsibilities","Establish a defined, approved and understood structure for the implementation, operation and management of information security within the organization.","#Preventive #Confidentiality #Integrity #Availability #Identify #Governance #Governance_and_Ecosystem #Protection #Resilience","- Security organization policy\n- Assignment by management of responsibilities for information security","Control the definition and assignment of functions and responsibilities related to information security according to the needs of the organization.","Green: presence of evidence\nOrange: minor breach\nRed: absence of evidence","Define and assign all information security responsibilities."
26,"5.03","Segregation of duties","Reduce the risk of fraud, error and circumvention of information security measures.","#Preventive #Confidentiality #Integrity #Availability #Protect #Governance #Management_of_identities_and_access #Governance_and_Ecosystem","- Definition of incompatible tasks and areas of responsibility","Ensure that incompatible tasks and areas of responsibility are separated","Green: presence of evidence\nOrange: minor non-compliance\nRed: absence of evidence","Separate incompatible tasks and areas of responsibility."
26,"5.04","Management Responsibilities","Ensure that management understands their role in information security and takes actions to ensure that all staff are aware of and carry out their information security responsibilities Oh good.","#Preventive #Confidentiality #Integrity #Availability #Identify #Governance #Governance_and_Ecosystem","- communication from management\n- date of inspection","Check the existence of communication from management on the importance of information security.","Green: =< 1 year\nOrange: > 1 year\nRed: no communication","Issue a management communication on the importance of information security to the organization."
26,"5.05","Relations with the authorities","Ensure the adequate flow of information regarding information security, between the organization and the relevant legal, regulatory and supervisory authorities.","#Preventive #Corrective #Privacy #Integrity #Availability #Identify #Protect #Respond #Recover #Governance #Defense #Resilience","- security organization procedure\n- inventory of the competent authorities\n- proof of relationship with the authorities","The procedure and the inventory are up to date there is evidence of relationship with the authorities","Green: presence of evidence\nOrange: minor non-conformity\nRed: absence of evidence","Appropriate relations with the competent authorities must be maintained."
26,"5.06","Relations with specialized working groups","Ensure the proper flow of information regarding information security.","#Preventive #Corrective #Confidentiality #Integrity #Availability #Protect #Respond #Restore #Governance #Defense","- safety organization procedure\n- inventory of groups of specialists\n- proof of relationship with groups of specialists","The procedure and the inventory of specialist groups are up to date. There is evidence of a relationship with specialist groups.","Green: presence of evidence\nOrange: minor non-conformity\nRed: missing evidence","Review the procedure, update the inventory and maintain relationships with specialist groups."
26,"5.07","Threat intelligence","Provide knowledge of the organization's threat environment so that appropriate mitigation actions can be taken.","#Preventive #Detective #Corrective #Confidentiality #Integrity #Availability #Identification #Detect #Respond #Threat_and_vulnerability_management #Defense #Resilience","- sources of information on threats\n- proof of analyzes","There are sources of information and evidence of analyzes","Green: presence of evidence\nOrange: minor non-conformity\nRed: missing evidence","Collect and analyze threat information."
26,"5.08","Information Security in Project Management","Ensure that information security risks relating to projects and deliverables are addressed effectively in project management, throughout the project lifecycle.","#Preventive #Confidentiality #Integrity #Availability #Identify #Protect #Governance #Governance_and_Ecosystem #Protection","- security organization procedure\n- evidence of consideration of information security in project management","Monitor the consideration of information security in project management.","Green: presence of evidence\nOrange: minor non-conformity\nRed: absence of evidence","Integrate information security into the organization's project management activities."
26,"5.09","Inventory of information and other related assets","Identify information and other associated assets of the organization to maintain their security and assign ownership appropriately.","#Preventive #Confidentiality #Integrity #Availability #Identify #Asset_management #Governance_and_Ecosystem #Protection","- extract from the inventory\n- physical control of the inventory\n- check the attribution of an owner","Control that an inventory of information and other associated assets, including their owners, is maintained and updated","Green: presence of evidence\nOrange: minor breach\nRed: absence of evidence","Develop and maintain an inventory of information and other associated assets, including their owners."
26,"5.10","Proper use of information and other associated assets","Ensure that information and other associated assets are protected, used and processed appropriately.","#Preventive #Confidentiality #Integrity #Availability #Protect #Asset_management #Information_protection #Governance_and_Ecosystem #Protection","- Rule for correct use of assets\n- Publication date","Check the existence of rules Compare the publication date to the check date","Green: presence of evidence\nOrange: minor breach\nRed: absence of evidence","Identify, document and implement rules for the correct use and procedures for processing information and other associated assets."
26,"5.11","Return of assets","Protect the organization's assets in the process of changing or terminating their employment, contract or agreement.","#Preventive #Confidentiality #Integrity #Availability #Protect #Asset_management #Protection","- sample of employees who left the organization over the period\n- proof of return of assets","Check the list of employees who have left the organization and proof of return of assets to the organization.","Green: compliant\nOrange: minor non-compliance\nRed: non-compliant","Staff and other interested parties, as necessary, return all assets of the organization in their possession in the event of a change or termination of their employment relationship, employment contract or engagement."
26,"5.12","Classification of information","Ensure the identification and understanding of information protection needs based on its importance to the organization.","#Preventive #Confidentiality #Integrity #Availability #Identify #Protection_of_informationmations #Protection #Defense","- check the date of update of the procedure\n- check with the DPO and lawyer the conformity of the procedure in view of the changes in the context of the organization","Control the existence and updating of the procedure and its content taking into account the context of the organization","Green: compliant\nOrange: minor non-compliance\nRed: non-compliant","Classify information in accordance with the organization's information security needs in terms of confidentiality, integrity, availability and the requirements of interested parties."
26,"5.13","Marking information","Facilitate the communication of information classification and support the automation of information management and processing.","#Preventive #Confidentiality #Integrity #Availability #Protect #Protection_of_informationmations #Defense #Protection","- marking procedure\n- sample information (procedure, form, etc.)","Control the branding procedure and its implementation on a sample of the organization's information.","Green: compliant\nOrange: minor non-compliance\nRed: non-compliant","Review the information marking procedure and its application"
26,"5.14","Transfer of information","Maintain the security of information transferred within the organization and to any external interested parties","#Preventive #Confidentiality #Integrity #Availability #Protect #Asset_management #Information_protection #Protection","rules, procedures or agreements for the transfer of information\n- inventory of the agreements concerned\n- terms of the agreements","Check the implementation of information transfer rules, procedures or agreements, the inventory of the agreements concerned and the terms of the agreements.","Green: compliant\nOrange: minor non-compliance\nRed: non-compliant","Implement policies, procedures and formal transfer measures to protect the transfer of information passing through all types of communication equipment."
26,"5.15","Access control","Ensure authorized access and prevent unauthorized access to information and other associated assets.","#Preventive #Confidentiality #Integrity #Availability #Protect #Identity_and_access_management #Protection","- Access control policy\n- Policy review date\n- Control date","Control the definition and implementation of rules to manage physical and logical access to information and other related assets based on business and information security requirements.","Green: compliant\nOrange: minor non-compliance\nRed: non-compliant","Establish, document and review the access control policy"
26,"5.16","Identity management","To enable the unique identification of people and systems that access information and other associated assets of the organization, and to enable the appropriate assignment of access rights.","#Preventive #Confidentiality #Integrity #Availability #Protect #Identity_and_access_management #Protection","- user registration and deregistration process\n- date of check","Control the management of the complete identity lifecycle.","Green: compliant\nOrange: minor non-compliance\nRed: non-compliant","Manage the full lifecycle of identities."
26,"5.17","Authentication information","Ensure correct entity authentication and avoid failures in authentication processes.","#Preventive #Confidentiality #Integrity #Availability #Protect #Identity_and_access_management #Protection","process for managing the allocation of secret authentication information","Check the existence and application of the process for managing the allocation of secret authentication information","Green: compliant\nOrange: minor non-compliance\nRed: non-compliant","Establish a formal process for managing the allocation of secret authentication information."
26,"5.18","Access rights","Ensure that access to information and other related assets is defined and authorized in accordance with business requirements","#Preventive #Confidentiality #Integrity #Availability #Protect #Identity_and_access_management #Protection","- Process for controlling user access management\n- Evidence of application of the process for controlling user access management\n- Review of access rights","Control the existence of the process for controlling user access management, the validity of proof of application of the process and the review of access rights","Green: compliant\nOrange: anomaly\nRed: non-compliant","Access rights to information and other associated assets are provisioned, reviewed, modified and terminated in accordance with the organization's subject matter policy and access control rules."
26,"5.19","Information security in supplier relationships","Maintain the agreed level of information security in relationships with suppliers.","#Preventive #Confidentiality #Integrity #Availability #Identify #Security_of_supplier_relations #Governance_and_Ecosystem #Protection","- suppliers subject to information security requirements\n- information security requirements\n- acceptances by suppliers","Check that requirements are documented and updated and that measures are accepted by suppliers","Green: compliant\nOrange: anomaly\nRed: non-compliant","Define and obtain acceptance from suppliers of information security requirements to limit risks resulting from these suppliers' access to the organization's assets."
26,"5.20","Consideration of information security in agreements concluded with suppliers","Maintain the agreed level of information security in relationships with suppliers.","#Preventive #Confidentiality #Integrity #Availability #Identify #Security_of_supplier_relations #Governance_and_Ecosystem #Protection","- applicable requirements related to information security\n- suppliers concerned\n- agreement with suppliers","Check that requirements are documented and updated and that requirements are agreed with suppliers","Green: compliant\nOrange: anomaly\nRed: non-compliant","Establish and agree with each provider that can access, process, store, communicate or provide components of the IT infrastructure intended for the organization's information, applicable requirements related to information security."
26,"5.21","Information security management in the ICT supply chain","Maintain the agreed level of information security in relationships with suppliers.","#Preventive #Confidentiality #Integrity #Availability #Identify #Security_of_supplier_relations #Governance_and_Ecosystem #Protection","suppliers concerned\n- requirements on risk treatment\n- agreements concluded with these suppliers","Check the requirements are documented and that the agreements concluded contain the requirements","Green: compliant\nOrange: anomaly\nRed: non-compliant","Include in agreements with vendors requirements for addressing information security risks associated with the supply chain of IT products and services."
26,"5.22","Follow-up, review and change management of supplier services","Maintain an agreed level of information security and service delivery, in accordance with agreements with suppliers.","#Preventive #Confidentiality #Integrity #Availability #Identify #Security_of_supplier_relations #Assurance_of_information_security #Governance_and_Ecosystem #Protection #Defense","- Suppliers concerned\n- Monitoring, verifications and audits carried out","Monitor that the organization regularly monitors, reviews, evaluates and manages changes in supplier practices relating to information security and service delivery.","Green: compliant\nOrange: anomaly\nRed: non-compliant","Monitor, verify and audit the delivery of services provided by suppliers at regular intervals."
